Rank,Trainer,Wins,2nds,3rds,Stakes,Starts,G&L,SR
241,Craig_Ivil,1,0,1,"$18,485",5,0,5.0
242,Jim_Curran,1,0,0,"$16,735",14,0,14.0
243,Ebony_Turner,1,0,0,"$17,025",12,0,12.0
244,Anne_Davies,1,0,0,"$28,910",11,0,11.0
245,Emily_Wilson,1,0,0,"$16,225",9,0,9.0
246,David_Haworth,1,0,0,"$12,845",8,0,8.0
247,Kara_Dickson,1,0,0,"$13,145",8,0,8.0
248,Kevin_James,1,0,0,"$12,210",8,0,8.0
249,Austin_Brown,1,0,0,"$27,095",7,0,7.0
250,Graeme_Cameron,1,0,0,"$42,175",7,0,7.0
251,Steve_Hewitt,1,0,0,"$21,025",6,0,6.0
252,Alby_MacGregor,1,0,0,"$108,250",5,1,5.0
253,Joanne_Roylands,1,0,0,"$11,747",5,0,5.0
254,Kim_Reid,1,0,0,"$35,850",5,0,5.0
255,Kelly_Van_Dyk,1,0,0,"$15,675",4,0,4.0
256,Lee_Somervell,1,0,0,"$13,285",4,0,4.0
257,Tracey_Bliss,1,0,0,"$36,700",3,0,3.0
258,Craig_Williamson,1,0,0,"$23,750",2,0,2.0
259,Les_Collins,1,0,0,"$26,245",2,0,2.0
260,Bruce_Sarginson,1,0,0,"$11,200",1,0,1.0
